iter	RMSE
0	3.751719685e+10
1	3.220687712e+10
2	2.716710611e+10
3	2.473208851e+10
4	2.323346423e+10
5	2.138838477e+10
6	2.035926245e+10
7	2.007628282e+10
8	1.969872813e+10
9	1.935616836e+10
10	1.928332934e+10
11	1.913904219e+10
12	1.811506903e+10
13	1.798350378e+10
14	1.716171629e+10
15	1.654754972e+10
16	1.555268892e+10
17	1.53137125e+10
18	1.518001955e+10
19	1.511036325e+10
20	1.413569198e+10
21	1.398459791e+10
22	1.38001545e+10
23	1.324583293e+10
24	1.314632876e+10
25	1.303077304e+10
26	1.248038094e+10
27	1.238316228e+10
28	1.190240057e+10
29	1.178384092e+10
30	1.170024512e+10
31	1.152214285e+10
32	1.148825995e+10
33	1.144431669e+10
34	1.117099439e+10
35	1.112764937e+10
36	1.106445238e+10
37	1.10230016e+10
38	1.093381573e+10
39	1.053116099e+10
40	1.037364175e+10
41	1.034373526e+10
42	1.018378126e+10
43	1.016077134e+10
44	1.014485469e+10
45	9875586122
46	9824980476
47	9799688983
48	9770040364
49	9718164087
50	9683307294
51	9600342030
52	9582311819
53	9542273237
54	9506572218
55	9469600928
56	9452511903
57	9333270268
58	9056573859
59	9043737826
60	9015718463
61	8951912441
62	8918234896
63	8863889180
64	8829422892
65	8804694717
66	8774680937
67	8749710589
68	8739532250
69	8714787252
70	8688986635
71	8652986101
72	8628585324
73	8613351703
74	8578718794
75	8399019014
76	8386407976
77	8281841986
78	8253398197
79	8239814827
80	8215659106
81	8002278519
82	7981664410
83	7968273416
84	7952779176
85	7824275447
86	7744665536
87	7730095043
88	7711334787
89	7673807589
90	7659989550
91	7648869657
92	7619897968
93	7607459716
94	7587974274
95	7323466738
96	7310575725
97	7296959799
98	7280556210
99	7126129951
