iter	Passed	Remaining
0	58	5794
1	59	2911
2	60	1950
3	61	1468
4	62	1179
5	62	986
6	63	849
7	64	746
8	66	667
9	66	602
10	67	548
11	68	503
12	69	465
13	70	433
14	71	404
15	72	379
16	73	356
17	73	336
18	74	318
19	75	301
20	76	287
21	77	273
22	78	261
23	78	249
24	79	239
25	80	229
26	81	220
27	82	211
28	83	203
29	84	196
30	84	188
31	85	182
32	86	175
33	87	169
34	88	163
35	89	158
36	89	153
37	90	148
38	91	143
39	92	139
40	93	134
41	94	130
42	95	126
43	96	122
44	96	118
45	97	114
46	98	111
47	99	108
48	100	104
49	101	101
50	102	98
51	103	95
52	104	92
53	104	89
54	105	86
55	106	83
56	107	81
57	108	78
58	109	75
59	110	73
60	111	70
61	111	68
62	112	66
63	113	63
64	114	61
65	115	59
66	116	57
67	117	55
68	117	52
69	118	50
70	119	48
71	120	46
72	121	44
73	122	42
74	122	40
75	123	39
76	124	37
77	125	35
78	126	33
79	127	31
80	128	30
81	128	28
82	129	26
83	130	24
84	131	23
85	132	21
86	133	19
87	134	18
88	135	16
89	136	15
90	136	13
91	137	11
92	138	10
93	139	8
94	140	7
95	141	5
96	142	4
97	143	2
98	144	1
99	144	0
