
"NAM"	"DAT"	"PERIOD"	"КАТО(по отчету)"	"LКАТО(по отчету)"	"ГОКЭД(по каталогу)02"	"LГОКЭД(по каталогу)02"	"ГЗВ"	"LГЗВ"	"VAL"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Всего"	"1"	"Всего"	"1"	"2 271 609 952 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2013 год"	"201312"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Всего"	"1"	"Всего"	"1"	"2 282 700 885 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Всего"	"1"	"Всего"	"1"	"2 256 674 137 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Всего"	"1"	"Всего"	"1"	"2 180 039 014 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Растениеводство и животноводство, охота и предоставление услуг в этих областях"	"4"	"Всего"	"1"	"33 063 972 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Растениеводство и животноводство, охота и предоставление услуг в этих областях"	"4"	"Всего"	"1"	"34 854 037 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Промышленность"	"147"	"Всего"	"1"	"1 834 800 379 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2013 год"	"201312"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Промышленность"	"147"	"Всего"	"1"	"1 905 991 489 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Промышленность"	"147"	"Всего"	"1"	"1 885 486 780 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Промышленность"	"147"	"Всего"	"1"	"1 811 023 966 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Лесоводство и лесозаготовки"	"149"	"Всего"	"1"	"94 731 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Лесоводство и лесозаготовки"	"149"	"Всего"	"1"	"142 839 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Рыболовство и рыбоводство"	"175"	"Всего"	"1"	"44 139 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Рыболовство и рыбоводство"	"175"	"Всего"	"1"	"21 115 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Добыча угля "	"188"	"Всего"	"1"	"18 510 429 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Добыча сырой нефти и природного газа"	"207"	"Всего"	"1"	"185 399 964 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Добыча металлических руд"	"216"	"Всего"	"1"	"86 455 216 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Добыча прочих полезных ископаемых"	"235"	"Всего"	"1"	"17 891 356 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Предоставление услуг в горнодобывающей промышленности"	"258"	"Всего"	"1"	"11 780 248 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Производство продуктов питания"	"265"	"Всего"	"1"	"10 501 325 000.000"
