Algorithm,Number of features,Number of targets,k-fold validation,CV RMSE,Test RMSE,R2
XGBoost,7,1,10,20829736245.0879,6706173438.0051565,0.9343227633179925
CatBoost,7,1,10,20530765821.851128,9841918169.252625,0.8585428808734814
Extra Trees Regression,7,1,10,19868886957.706337,13786959197.327131,0.7224109758338759
LightGBM,7,1,10,26144989606.111362,14086708039.316072,0.7102093715918597
HistGradientBoosting,7,1,10,28808775752.005054,14886393947.50711,0.6763733145967444
Gradient Boosting,7,1,10,26178896084.515892,16177772953.439455,0.6177893522137213
KNN Regression,7,1,10,40079597757.58634,24533966979.010647,0.1209757376303745
Elastic Net,7,1,10,48541519426.072876,25937367781.591812,0.017534949615964912
Ridge,7,1,10,48511936244.49153,25988428287.123016,0.013662965355426548
Lasso,7,1,10,48511936926.891464,25988445668.892605,0.013661645976769887
Adaptive Boosting,7,1,10,74283178887.02162,90436452300.81447,-10.944070111927045
